"ID","GBLITE__RESPONSE_MESSAGE__C","GBLITE__TYPE__C","GBLITE__GRID_NAME__C","GBLITE__REQUEST_STATUS__C","GBLITE__CONTROLLING_FIELD__C","GBLITE__OBJECT_API_NAME__C","GBLITE__OBJECT_DOT_FIELD_NAME__C","GBLITE__PICKLIST_META__C","STATUS"
"a0jg0000008hDqYAAU","","Action","","","","AIM_Procurement__c","","{""actionLabel"":""View record detail"",""actionType"":""Single"",""actionLocation"":""Menu"",""confirmAction"":false,""confirmMessage"":"""",""contentSource"":""Formula"",""content"":""AIM_Grid_URL__c"",""descr"":"""",""displayBehavior"":""WindowOverlay"",""idParamName"":"""",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqZAAU","","Action","","","","AIM_Expenditure_Reported__c","","{""actionLabel"":""View record detail"",""actionType"":""Single"",""actionLocation"":""Menu"",""confirmAction"":false,""confirmMessage"":"""",""contentSource"":""Formula"",""content"":""AIM_Grid_URL__c"",""descr"":"""",""displayBehavior"":""WindowOverlay"",""idParamName"":"""",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqaAAE","","Action","","","","AIM_Grant_Requirement__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":"""",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""AIM_Grid_URL__c"",""contentSource"":""Formula"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""View record detail""}","Item Created"
"a0jg0000008hDqbAAE","","Action","","","","AIM_Outcome_Disaggregation_Results__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":"""",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""AIM_Grid_URL__c"",""contentSource"":""Formula"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""View record detail""}","Item Created"
"a0jg0000008hDqcAAE","","Action","","","","AIM_Impact_Disagaggregation_Results__c","","{""actionLabel"":""View record detail"",""actionType"":""Single"",""actionLocation"":""Menu"",""confirmAction"":false,""confirmMessage"":"""",""contentSource"":""Formula"",""content"":""AIM_Grid_URL__c"",""descr"":"""",""displayBehavior"":""WindowOverlay"",""idParamName"":"""",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqdAAE","","Action","","","","AIM_Coverage_Disaggregation_Result__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":"""",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""AIM_Grid_URL__c"",""contentSource"":""Formula"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""View record detail""}","Item Created"
"a0jg0000008hDqeAAE","","Action","","","","AIM_Coverage_Indicator_Targets_Results__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":"""",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""AIM_Grid_URL__c"",""contentSource"":""Formula"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""View record detail""}","Item Created"
"a0jg0000008hDqfAAE","","Action","","","","AIM_Impact_Indicator_Targets_Results__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":"""",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""AIM_Grid_URL__c"",""contentSource"":""Formula"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""View record detail""}","Item Created"
"a0jg0000008hDqgAAE","","Action","","","","AIM_Coverage_Indicator__c","","{""actionLabel"":""Show Coverage Disaggregation"",""actionType"":""Single"",""actionLocation"":""Menu"",""confirmAction"":false,""confirmMessage"":"""",""contentSource"":""Grid"",""content"":""Coverage Disaggregation&fpf=AIM_Coverage_Indicator__c&sh=0"",""descr"":"""",""displayBehavior"":""WindowOverlay"",""idParamName"":""fpv"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqhAAE","","Action","","","","AIM_Outcome_Indicator__c","","{""actionLabel"":""Show Outcome Disaggregation"",""actionType"":""Single"",""actionLocation"":""Menu"",""confirmAction"":false,""confirmMessage"":"""",""contentSource"":""Grid"",""content"":""Outcome Disaggregation&fpf=AIM_Outcome_Indicator_ID__c&sh=0"",""descr"":"""",""displayBehavior"":""WindowOverlay"",""idParamName"":""fpv"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqiAAE","","Action","","","","AIM_Impact_Indicator__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":""fpv"",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""Impact Disaggregation&fpf=AIM_Impact_Indicator_ID__c&sh=0"",""contentSource"":""Grid"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""Show Impact Disaggregation""}","Item Created"
"a0jg0000008hDqjAAE","","Action","","","","AIM_Impact_Indicator__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":"""",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""AIM_Grid_URL__c"",""contentSource"":""Formula"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""View record detail""}","Item Created"
"a0jg0000008hDqkAAE","","Action","","","","Lead","","{""confirmMessage"":"""",""confirmAction"":false,""idParamName"":""p2_lkid,retURL"",""content"":""/_ui/core/email/author/EmailAuthor"",""contentSource"":""URL"",""actionType"":""Single"",""displayBehavior"":""WindowOverlay"",""descr"":""Standard Salesforce Send Email Action"",""actionLabel"":""Send Email"",""actionLocation"":""Menu"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqlAAE","","Action","","","","Case","","{""confirmMessage"":"""",""confirmAction"":false,""idParamName"":"""",""content"":""CloseCase"",""contentSource"":""Button"",""actionType"":""Single"",""displayBehavior"":""NewWindow"",""descr"":""Standard Salesforce Close Case Action"",""actionLabel"":""Close Case"",""actionLocation"":""Menu"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqmAAE","","Action","","","","Case","","{""confirmMessage"":"""",""confirmAction"":false,""idParamName"":""p3_lkid,retURL"",""content"":""/_ui/core/email/author/EmailAuthor"",""contentSource"":""URL"",""actionType"":""Single"",""displayBehavior"":""WindowOverlay"",""descr"":""Standard Salesforce Send Email Action"",""actionLabel"":""Send Email"",""actionLocation"":""Menu"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqnAAE","","Action","","","","Opportunity","","{""confirmMessage"":"""",""confirmAction"":false,""idParamName"":""addTo,retURL"",""content"":""/p/opp/SelectSearch"",""contentSource"":""URL"",""actionType"":""Single"",""displayBehavior"":""WindowOverlay"",""descr"":""Standard Salesforce Add Product Action"",""actionLabel"":""Add Product"",""actionLocation"":""Menu"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqoAAE","","Action","","","","Opportunity","","{""confirmMessage"":"""",""confirmAction"":false,""idParamName"":""p3_lkid,retURL"",""content"":""/_ui/core/email/author/EmailAuthor"",""contentSource"":""URL"",""actionType"":""Single"",""displayBehavior"":""WindowOverlay"",""descr"":""Standard Salesforce Send Email Action"",""actionLabel"":""Send Email"",""actionLocation"":""Menu"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqpAAE","","Action","","","","OpportunityLineItem","","{""confirmMessage"":"""",""confirmAction"":false,""idParamName"":""id,retURL"",""content"":""/oppitm/establishschedule.jsp"",""contentSource"":""URL"",""actionType"":""Single"",""displayBehavior"":""WindowOverlay"",""descr"":""Standard Salesforce Establish Schedule Action"",""actionLabel"":""Establish Schedule"",""actionLocation"":""Menu"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqqAAE","","Action","","","","Account","","{""confirmMessage"":"""",""confirmAction"":false,""idParamName"":""p3_lkid,retURL"",""content"":""/_ui/core/email/author/EmailAuthor"",""contentSource"":""URL"",""actionType"":""Single"",""displayBehavior"":""WindowOverlay"",""descr"":""Standard Salesforce Send Email Action"",""actionLabel"":""Send Email"",""actionLocation"":""Menu"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqrAAE","","Action","","","","Contact","","{""confirmMessage"":"""",""confirmAction"":false,""idParamName"":""p2_lkid,retURL"",""content"":""/_ui/core/email/author/EmailAuthor"",""contentSource"":""URL"",""actionType"":""Single"",""displayBehavior"":""WindowOverlay"",""descr"":""Standard Salesforce Send Email Action"",""actionLabel"":""Send Email"",""actionLocation"":""Menu"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqsAAE","","Action","","","","AIM_Coverage_Disaggregation__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":"""",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""AIM_Grid_URL__c"",""contentSource"":""Formula"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""View record detail""}","Item Created"
"a0jg0000008hDqtAAE","","Action","","","","AIM_Outcome_Indicator__c","","{""actionLabel"":""View record detail"",""actionType"":""Single"",""actionLocation"":""Menu"",""confirmAction"":false,""confirmMessage"":"""",""contentSource"":""Formula"",""content"":""AIM_Grid_URL__c"",""descr"":"""",""displayBehavior"":""WindowOverlay"",""idParamName"":"""",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDquAAE","","Action","","","","AIM_Coverage_Indicator__c","","{""actionLabel"":""View record detail"",""actionType"":""Single"",""actionLocation"":""Menu"",""confirmAction"":false,""confirmMessage"":"""",""contentSource"":""Formula"",""content"":""AIM_Grid_URL__c"",""descr"":"""",""displayBehavior"":""WindowOverlay"",""idParamName"":"""",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqvAAE","","Action","","","","Lead","","{""confirmMessage"":"""",""confirmAction"":false,""idParamName"":"""",""content"":""Convert"",""contentSource"":""Button"",""actionType"":""Single"",""displayBehavior"":""NewWindow"",""descr"":""Standard Salesforce Convert Lead Action"",""actionLabel"":""Convert"",""actionLocation"":""Menu"",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqwAAE","","Action","","","","AIM_Key_Activity_Milestone__c","","{""actionLabel"":""View record detail"",""actionType"":""Single"",""actionLocation"":""Menu"",""confirmAction"":false,""confirmMessage"":"""",""contentSource"":""Formula"",""content"":""AIM_Grid_URL__c"",""descr"":"""",""displayBehavior"":""WindowOverlay"",""idParamName"":"""",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqxAAE","","Action","","","","AIM_Impact_Disaggregation__c","","{""actionLabel"":""View record detail"",""actionType"":""Single"",""actionLocation"":""Menu"",""confirmAction"":false,""confirmMessage"":"""",""contentSource"":""Formula"",""content"":""AIM_Grid_URL__c"",""descr"":"""",""displayBehavior"":""WindowOverlay"",""idParamName"":"""",""overlayHeight"":"""",""overlayHeightUnit"":""px"",""overlayWidth"":"""",""overlayWidthUnit"":""px"",""overlayTopOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayLeftOffsetUnit"":""px""}","Item Created"
"a0jg0000008hDqyAAE","","Action","","","","AIM_Outcome_Disaggregation__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":"""",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""AIM_Grid_URL__c"",""contentSource"":""Formula"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""View record detail""}","Item Created"
"a0jg0000008hDqzAAE","","Action","","","","AIM_WPTM_Results__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":"""",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""AIM_Grid_URL__c"",""contentSource"":""Formula"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""View record detail""}","Item Created"
"a0jg0000008hDr0AAE","","Action","","","","AIM_Outcome_Indicator_Targets_Result__c","","{""overlayLeftOffsetUnit"":""px"",""overlayLeftOffset"":"""",""overlayTopOffsetUnit"":""px"",""overlayTopOffset"":"""",""overlayWidthUnit"":""px"",""overlayWidth"":"""",""overlayHeightUnit"":""px"",""overlayHeight"":"""",""idParamName"":"""",""displayBehavior"":""WindowOverlay"",""descr"":"""",""content"":""AIM_Grid_URL__c"",""contentSource"":""Formula"",""confirmMessage"":"""",""confirmAction"":false,""actionLocation"":""Menu"",""actionType"":""Single"",""actionLabel"":""View record detail""}","Item Created"
